Opp. Id;ContactId;RecordType.Name;Account.Name;Amount;Platform__c;CloseDate;Donation_Date__c;StageName;Campaign.Name
0065G00000oIlTMQA0;003f40000172mu4AAA;Donation;`0966;105;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTNQA0;0035G000027J90IQAS;Donation;`1455;100;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTOQA0;0035G00001j97utQAA;Donation;`0562;100;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTPQA0;0035G000027J90JQAS;Donation;`1429;262,5;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTQQA0;0035G00002ARkWNQA1;Donation;`1209;50;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTRQA0;003f40000172pcXAAQ;Donation;`3508;105;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTSQA0;0035G00001j98TMQAY;Donation;`2738;100;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTTQA0;0035G00001j97nVQAQ;Donation;`2696;100;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTUQA0;0035G00002ARjvbQAD;Donation;`4687;40;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTVQA0;0035G00002ARkWOQA1;Donation;`3486;50;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTWQA0;0035G00002ARkWPQA1;Donation;`3507;40;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTXQA0;0035G00001nr5glQAA;Donation;`2640;50;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTYQA0;0035G00002ARkWQQA1;Donation;`1976;105;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTZQA0;0035G00002ARkWRQA1;Donation;`3431;100;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTaQAK;003f400001Th9pSAAR;Donation;`0853;52,5;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTbQAK;0035G00002ARkWSQA1;Donation;`2560;25;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTcQAK;0035G00002ARkWTQA1;Donation;`1963;100;Qgiv;25.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTdQAK;0035G00002ARkWUQA1;Donation;`2578;52,5;Qgiv;25.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTeQAK;003f400001HnSLNAA3;Donation;`0430;100;Qgiv;25.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTfQAK;0035G00002482NwQAI;Donation;`1321;26,25;Qgiv;25.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTgQAK;0035G00001gyiaqQAA;Donation;`4225;105;Qgiv;25.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlThQAK;0035G00001j97nwQAA;Donation;`3579;50;Qgiv;25.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTiQAK;0035G00002ARkWVQA1;Donation;`2016;50;Qgiv;25.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTjQAK;0035G00002ARkWWQA1;Donation;`3444;30;Qgiv;24.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTkQAK;0035G000027HMTkQAO;Donation;`1563;26,25;Qgiv;24.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTlQAK;0035G00002ARkWXQA1;Donation;`1617;20;Qgiv;24.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
